latitude,longitude,weighted_velocity,mean_incidence_angle,mean_track_angle
65.4,-16.6850000000001,9.1,41.38,349.24
65.4,-16.680000000000103,10.099175532108065,41.3890909090909,349.2422727272727
65.4,-16.675000000000104,8.242268952205041,41.40727272727272,349.25
65.4,-16.670000000000105,7.8490013234496985,41.41636363636363,349.2513636363637
65.4,-16.665000000000106,9.146717512686154,41.4272,349.26
65.4,-16.660000000000107,9.49179812867092,41.44275862068966,349.26000000000005
65.4,-16.655000000000108,8.720089298635466,41.45485714285714,349.2674285714286
65.4,-16.65000000000011,8.815034660498222,41.46724137931035,349.27000000000004
65.4,-16.64500000000011,8.819742957772363,41.483,349.27500000000003
65.4,-16.64000000000011,9.623278110592217,41.494687500000005,349.28
65.4,-16.63500000000011,9.462078723950489,41.506857142857136,349.2828571428572
65.4,-16.630000000000113,8.368515963143276,41.521388888888886,349.29000000000013
65.4,-16.625000000000114,8.328233213280543,41.53272727272727,349.2909090909091
65.4,-16.620000000000115,9.00227203120555,41.54555555555555,349.29999999999995
65.4,-16.615000000000116,10.523920295179655,41.559729729729725,349.2999999999999
65.4,-16.610000000000117,7.799832845499834,41.57193548387095,349.3096774193547
65.4,-16.605000000000118,9.124726860311695,41.586315789473694,349.31000000000006
65.4,-16.60000000000012,7.013618330603513,41.5964516129032,349.31677419354827
65.4,-16.59500000000012,8.653713318947329,41.60974358974357,349.31999999999994
65.4,-16.59000000000012,7.719684020005313,41.622903225806446,349.3241935483871
65.4,-16.58500000000012,8.328314080927138,41.63500000000002,349.33
65.4,-16.580000000000123,8.558433189524528,41.64511111111112,349.33244444444443
65.4,-16.575000000000124,7.948075392578585,41.657878787878786,349.34
65.4,-16.570000000000125,8.10186734590537,41.67233333333335,349.3406666666667
65.4,-16.565000000000126,8.353874456224142,41.683898305084746,349.3499999999999
65.4,-16.560000000000127,8.340325855779039,41.695625,349.34999999999997
65.4,-16.555000000000128,8.476499788218458,41.70742857142857,349.35771428571434
65.4,-16.55000000000013,8.11010346337421,41.7215,349.36
65.4,-16.54500000000013,8.56381403046753,41.73162790697674,349.36488372093027
65.4,-16.54000000000013,8.056951104715038,41.74442307692308,349.3699999999999
65.4,-16.53500000000013,8.132395454042722,41.75763157894736,349.3736842105263
65.4,-16.530000000000133,8.078825081712507,41.77024390243903,349.38
65.4,-16.525000000000134,8.487719840647646,41.78439024390244,349.3821951219512
65.4,-16.520000000000135,7.292098128889596,41.795,349.38999999999993
65.4,-16.515000000000136,7.43980828827628,41.80685185185185,349.3899999999999
65.4,-16.510000000000137,7.715671004176874,41.8201851851852,349.39962962962977
65.4,-16.505000000000138,7.768052186008562,41.83163265306121,349.40000000000003
65.4,-16.50000000000014,8.269452020907236,41.84377777777777,349.40688888888894
65.4,-16.49500000000014,8.487869272577756,41.85603773584906,349.40999999999997
65.4,-16.49000000000014,8.966393294951787,41.87042553191488,349.4172340425532
65.4,-16.48500000000014,8.857026816502097,41.88238095238096,349.42
65.4,-16.480000000000143,8.85839462979612,41.895409836065575,349.42311475409826
65.4,-16.475000000000144,9.461281671496252,41.90788461538461,349.43
65.4,-16.470000000000145,8.067436058345121,41.921428571428585,349.43
65.4,-16.465000000000146,8.616493172090633,41.9338888888889,349.44000000000005
65.4,-16.460000000000147,9.039063847747068,41.944374999999994,349.44
65.4,-16.455000000000148,8.854628970718116,41.958148148148155,349.44851851851854
65.4,-16.45000000000015,9.745794125480446,41.97095238095238,349.44999999999993
65.4,-16.44500000000015,9.381990255163108,41.98545454545455,349.4581818181818
65.4,-16.44000000000015,9.33164334373928,41.99400000000001,349.46
65.4,-16.43500000000015,9.032188841201716,42.00666666666666,349.46
65.405,-16.6850000000001,8.366393498367566,41.38344827586209,349.23999999999995
65.405,-16.680000000000103,9.162458502099458,41.39458333333334,349.2445833333333
65.405,-16.675000000000104,9.172418400313651,41.40620689655172,349.25
65.405,-16.670000000000105,9.12316973019763,41.418444444444454,349.25177777777776
65.405,-16.665000000000106,9.225171500955069,41.43382978723405,349.26000000000005
65.405,-16.660000000000107,8.506736687323095,41.44475,349.26025
65.405,-16.655000000000108,9.083930306108078,41.458679245283015,349.26962264150944
65.405,-16.65000000000011,9.476010800304847,41.474189189189175,349.27
65.405,-16.64500000000011,9.245263281363039,41.485671641791036,349.27746268656705
65.405,-16.64000000000011,9.059027285380717,41.49909090909091,349.2799999999999
65.405,-16.63500000000011,8.100157100734409,41.51134328358209,349.2853731343283
65.405,-16.630000000000113,9.646038639617874,41.524657534246586,349.29
65.405,-16.625000000000114,9.286675361032948,41.53760869565217,349.2945652173914
65.405,-16.620000000000115,7.793300283954518,41.549393939393944,349.30000000000007
65.405,-16.615000000000116,9.260020062056828,41.56293103448276,349.3013793103449
65.405,-16.610000000000117,7.815788004780192,41.57413793103448,349.31000000000006
65.405,-16.605000000000118,8.951907547238948,41.587692307692315,349.31
65.405,-16.60000000000012,7.367371861670452,41.60054545454545,349.31927272727273
65.405,-16.59500000000012,6.932094634905736,41.61491803278689,349.32
65.405,-16.59000000000012,7.944509749936225,41.62632352941176,349.32750000000004
65.405,-16.58500000000012,7.481471765238781,41.637941176470584,349.3300000000001
65.405,-16.580000000000123,7.455760576015451,41.64968253968255,349.3333333333334
65.405,-16.575000000000124,8.607409429486907,41.66234375,349.34000000000003
65.405,-16.570000000000125,8.323546250386366,41.67478873239437,349.3429577464789
65.405,-16.565000000000126,7.3245660474509275,41.68771739130435,349.3499999999999
65.405,-16.560000000000127,8.914179196481443,41.699594594594586,349.3502702702702
