latitude,longitude,dU,dP
65.400001,-17.199998,1.6088653622702738,-16.457017088006246
65.40025112456229,-17.199547775887943,1.6088653622702738,-16.457017088006246
65.40050124912456,-17.19909755177589,1.6088653622702738,-16.457017088006246
65.40075137368684,-17.19864732766383,1.6088653622702738,-16.457017088006246
65.40100149824913,-17.198197103551777,1.6088653622702738,-16.457017088006246
65.40125162281142,-17.19774687943972,1.6088653622702738,-16.457017088006246
65.40150174737369,-17.197296655327666,1.6088653622702738,-16.457017088006246
65.40175187193597,-17.196846431215608,1.6088653622702738,-16.457017088006246
65.40200199649826,-17.196396207103554,1.6088653622702738,-16.457017088006246
65.40225212106053,-17.195945982991496,1.6088653622702738,-16.457017088006246
65.40250224562281,-17.195495758879442,1.6088653622702738,-16.457017088006246
65.4027523701851,-17.195045534767385,1.6088653622702738,-16.457017088006246
65.40300249474738,-17.194595310655327,1.6088653622702738,-16.457017088006246
65.40325261930965,-17.194145086543273,1.6088653622702738,-16.457017088006246
65.40350274387194,-17.193694862431215,1.6088653622702738,-16.457017088006246
65.40375286843422,-17.19324463831916,1.6088653622702738,-16.457017088006246
65.4040029929965,-17.192794414207103,1.6088653622702738,-16.457017088006246
65.40425311755878,-17.19234419009505,1.6088653622702738,-16.457017088006246
65.40450324212107,-17.19189396598299,1.6088653622702738,-16.457017088006246
65.40475336668335,-17.191443741870938,1.6088653622702738,-16.457017088006246
65.40500349124562,-17.19099351775888,1.6088653622702738,-16.457017088006246
65.40525361580791,-17.190543293646826,1.6088653622702738,-16.457017088006246
65.4055037403702,-17.19009306953477,1.6088653622702738,-16.457017088006246
65.40575386493246,-17.18964284542271,1.6088653622702738,-16.457017088006246
65.40600398949475,-17.189192621310657,1.6088653622702738,-16.457017088006246
65.40625411405703,-17.1887423971986,1.6088653622702738,-16.457017088006246
65.40650423861932,-17.188292173086545,1.6088653622702738,-16.457017088006246
65.40675436318159,-17.187841948974487,1.6088653622702738,-16.457017088006246
65.40700448774388,-17.187391724862433,1.6088653622702738,-16.457017088006246
65.40725461230616,-17.186941500750375,1.6088653622702738,-16.457017088006246
65.40750473686843,-17.18649127663832,1.6088653622702738,-16.457017088006246
65.40775486143072,-17.186041052526264,1.6088653622702738,-16.457017088006246
65.408004985993,-17.18559082841421,1.6088653622702738,-16.457017088006246
65.40825511055527,-17.185140604302152,1.6088653622702738,-16.457017088006246
65.40850523511756,-17.184690380190094,1.6088653622702738,-16.457017088006246
65.40875535967984,-17.18424015607804,1.6088653622702738,-16.457017088006246
